ticker,company,issuer,spot,predicted,date_posted
2018,瑞聲科技 (02018),滙豐證券,,17.5,30/8/2011 11:03
3983,中海石油化學 (03983),花旗,,6.4,30/8/2010 09:32
1088,中國神華 (01088),大摩,,48,30/8/2010 17:55
2601,中國太保 (02601),花旗,36.6,33.8,30/8/2010 16:54
2601,中國太保 (02601),摩根士丹利,,38,30/8/2010 16:50
904,中國綠色食品 (00904),元大,,11.5,30/8/2010 16:05
1088,中國神華 (01088),星展唯高達,,41,30/8/2010 15:37
3339,中國龍工 (03339),中銀香港,6.08,8.8,30/8/2010 15:11
489,東風集團股份 (00489),星展唯高達,,14,30/8/2010 14:59
880,澳博控股 (00880),摩通,,11,30/8/2010 14:56
3918,金界控股 (03918),花旗,,1.5,30/8/2010 14:53
3339,中國龍工 (03339),高盛,,6.6,30/8/2010 14:51
3808,中國重汽 (03808),野村,,7.9,30/8/2010 12:44
2883,中海油田服務 (02883),中銀國際,15.48,14.06,30/8/2010 11:51
2688,新奧燃氣 (02688),中銀國際,,23.9,30/8/2010 11:40
700,騰訊 (00700),瑞銀,,450,30/7/2019 10:41
968,信義光能 (00968),滙豐,,4.1,30/7/2015 16:11
968,信義光能 (00968),滙豐,,4.1,30/7/2015 16:11
2628,中國人壽 (02628),瑞信,,40,30/7/2015 14:02
1128,永利澳門 (01128),瑞銀,,16,30/7/2015 13:57
1128,永利澳門 (01128),瑞信,,16.8,30/7/2015 13:46
2601,中國太保 (02601),德意志銀行,,35,30/7/2015 13:37
1910,新秀麗 (01910),瑞信,,28,30/7/2015 13:33
857,中國石油股份 (00857),美銀美林,,13,30/7/2014 18:47
762,中國聯通 (00762),德銀,13.5,14.2,30/7/2014 14:11
973,歐舒丹 (00973),摩根大通,18.2,21.7,30/7/2014 13:48
1128,永利澳門 (01128),高盛,35.8,34.8,30/7/2014 12:33
700,騰訊控股 (00700),里昂,128.9,150,30/7/2014 10:55
2380,中國電力 (02380),花旗,,3.8,30/7/2013 09:17
700,騰訊控股 (00700),大摩,,390,30/7/2013 16:26
81,中海宏洋 (00081),美銀美林,,12.5,30/7/2013 16:25
688,中國海外 (00688),麥格里,,23.39,30/7/2013 13:28
868,信義玻璃 (00868),匯豐證券,,8,30/7/2013 12:15
1171,兗州煤 (01171),摩根大通,5.5,5,30/7/2013 11:55
1212,利福國際 (01212),里昂,,24.5,30/7/2013 11:48
1128,永利澳門 (01128),里昂,,24,30/7/2013 11:39
1128,永利澳門 (01128),美銀美林,28.1,26.7,30/7/2013 11:21
973,歐舒丹 (00973),摩通,,16,30/7/2012 16:56
1299,友邦保險 (01299),巴克萊,,33,30/7/2012 14:10
1299,友邦保險 (01299),麥格里,25.5,26,30/7/2012 14:06
980,聯華超市 (00980),瑞銀,8.2,7,30/7/2012 14:03
2777,富力地產 (02777),美銀美林,,12.5,30/7/2012 12:42
2777,富力地產 (02777),德意志銀行,,17.18,30/7/2012 12:32
388,港交所 (00388),建銀國際,110,90,30/7/2012 12:01
330,思捷環球 (00330),花旗,14.3,8.2,30/7/2012 11:57
975,蒙古焦煤 (00975),瑞信,,4.7,30/7/2012 10:36
11,恒生銀行 (00011),瑞銀,,104,30/7/2010 09:55
658,中國高傳動 (00658),野村國際,,23.5,30/7/2010 09:17
270,粵海投資 (00270),中金,,4.28,30/7/2010 15:17
1171,兗州煤業股份 (01171),星展唯高達,,22.7,30/7/2010 15:16
257,中國光大國際 (00257),中金,,4.66,30/7/2010 15:15
389,通天酒業 (00389),軟庫金匯,,2.38,30/7/2010 15:14
522,ASM Pacific (00522),未來資產,,112,30/7/2010 15:01
1038,長江基建 (01038),花旗,,34.5,30/7/2010 14:59
2009,金隅股份 (02009),麥格里,,11.5,30/7/2010 14:57
1128,永利澳門 (01128),花旗,,11.8,30/7/2010 14:55
3,煤氣 (00003),美銀美林,,21.1,30/7/2010 10:56
2600,中國鋁業 (02600),瑞信,,7.8,30/7/2010 10:27
1055,南方航空 (01055),大福證券,,4.6,30/7/2010 10:14
178,莎莎國際 (00178),德銀,5.46,4.49,30/6/2015 16:10
3333,恒大地產 (03333),富瑞,,4.4,30/6/2015 14:46
2020,安踏體育 (02020),瑞信,19.5,20.2,30/6/2015 14:43
5,匯豐控股 (00005),高盛,92,88,30/6/2015 14:36
2007,碧桂園 (02007),摩根大通,,4.75,30/6/2015 11:54
688,中國海外發展 (00688),摩根大通,,35,30/6/2015 11:53
3699,萬達商業 (03699),花旗,,100.3,30/6/2015 11:01
728,中電信 (00728),金英證券,,5.25,30/6/2014 12:28
1211,比亞迪集團 (01211),美銀美林,57,20,30/6/2011 09:13
2328,中國財險 (02328),花旗,13.8,15,30/6/2011 08:22
19,太古A (00019),里昂,,134,30/6/2011 08:20
